iso3c,negara,mapel,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
NOR,Norway,Membaca,476.5238777539249,2.5420490613787745,112.38538569451475,1.3220969185152633,323.27180000000004,3.728076877727974,398.04120000000006,3.6784716608184502,481.9591,3.232556505929601,557.5543000000001,3.052000307539665,618.4327,3.0313095553828786,295.1609,4.163064528902424
POL,Poland,Membaca,488.71362906290636,2.7401438474118627,103.99629992356861,1.8715749017643684,347.23600000000005,5.1582935616129655,418.28100000000006,4.520716722029081,494.51890000000003,3.202913685094663,563.3695,3.4144098391148634,619.1116000000001,3.6840809344808956,271.8756,6.200407804341488
PRT,Portugal,Membaca,476.58861113023033,2.6632059313514627,93.53629468821175,1.7119594612414988,351.7436,4.894061869642529,413.39250000000004,3.524360375696246,480.2539999999999,2.9557336389540296,543.3408000000001,2.578767851341223,594.3496,2.831209171425014,242.60600000000005,4.892501272767106
SVK,Slovak Republic,Membaca,446.8606074045283,3.103058851600233,104.7241793354022,1.6532663792975189,305.899,5.014182815441286,372.202,4.44265886016221,451.2482,3.8655681465593705,523.9835999999999,3.34104125103404,580.429,3.3297843672467824,274.53,5.3636289914494055
SVN,Slovenia,Membaca,468.5360126993491,1.6443604276017258,96.53771343933056,1.1878037032218696,339.61440000000005,3.604006059966844,403.84319999999997,2.3430246841541416,472.59740000000005,2.0255709854809383,536.4087000000001,2.5268804355480547,591.3037999999999,3.1809830166728563,251.68939999999998,4.224752732129878
ESP,Spain,Membaca,474.3071124238225,1.653559930672569,96.73372937503314,0.9556149705380855,346.2796000000001,2.726491516634113,409.4375,2.4355953420057306,477.64840000000004,1.8630113652587668,542.1917,1.738530086060889,596.6772,1.9631503227168665,250.3976,2.851128972661532
SWE,Sweden,Membaca,486.97515578914386,2.4899434214525127,110.77141992984991,1.51649351091212,336.987,4.2376138715771745,410.3723,3.4923550367592613,492.5954,3.1353489663122893,567.6326000000001,2.8672105143036464,626.7652,3.1620760285855734,289.7782,4.740478081272766
CHE,Switzerland,Membaca,483.33173395585663,2.2583465898368154,104.96568590270577,1.4833940561645493,344.53880000000004,3.7356595322795503,408.7384,3.230575743836804,485.63530000000003,3.154366446513291,559.8353,3.1536311637231123,618.0205000000001,3.037171885822032,273.4817,4.618672011354801
TUR,Türkiye,Membaca,456.08404072475236,1.852157497598982,86.53239218461698,1.057083756528022,341.3476,2.882406276109515,395.6322,3.0621656615004107,457.59670000000006,2.5686529482071596,518.4053,2.321379906315305,568.1917000000001,2.6005056234050117,226.84410000000003,3.7113490945005236
GBR,United Kingdom,Membaca,494.40462600859087,2.3712521203331733,104.6198943437707,1.5634255338694143,357.0398,3.645618818679639,424.9662000000001,2.9531351146799154,496.41110000000003,2.8320257957717634,566.8549999999999,2.7153552934857546,626.0703000000001,3.450727892698069,269.0305,4.1704763225826165
